component,N,B,mean_ms,std_ms
T_quant,109,1,2.186025131959468,0.03522661422453408
T_quant,109,2,2.3558591317851096,0.05040663073298544
T_quant,109,4,3.6895168875344098,0.07029601026284263
T_quant,110,1,2.1838989504612982,0.017211416991789505
T_quant,110,2,2.4326538271270692,0.22442292608494055
T_quant,110,4,3.722279560752213,0.090263620992619
T_quant,111,1,2.194005112396553,0.03901162097108908
T_quant,111,2,2.372834726702422,0.0764104906032797
T_quant,111,4,3.727172763319686,0.086167568613897
T_quant,112,1,2.1955148910637945,0.02816800567328908
T_quant,112,2,2.3693687724880874,0.033216145211260525
T_quant,112,4,3.761191845405847,0.1013092595531033
T_quant,113,1,2.189244998153299,0.034885730530189694
T_quant,113,2,2.375064503867179,0.05286587673792968
T_quant,113,4,3.755597894778475,0.06506577772070846
T_quant,114,1,2.1993926749564707,0.04309621439194423
T_quant,114,2,2.3771963641047478,0.017712773101848035
T_quant,114,4,3.743455217918381,0.08660870995327143
T_quant,115,1,2.19053439097479,0.012408040760901354
T_quant,115,2,2.393040769966319,0.09444185490142736
T_quant,115,4,3.799040438607335,0.08298896898728814
T_quant,116,1,2.2176040266640484,0.13708781420943003
T_quant,116,2,2.41620913031511,0.17805483485309737
T_quant,116,4,3.8256691582500935,0.09911945376337812
T_quant,117,1,2.196718379855156,0.011833016154371314
T_quant,117,2,2.4035247962456197,0.14978887689967965
T_quant,117,4,3.837361451005563,0.09889187676054051
T_quant,118,1,2.19923127675429,0.0340890856123465
T_quant,118,2,2.401049213949591,0.05586490649083034
T_quant,118,4,3.9319756254553795,0.27714643143047235
T_quant,119,1,2.206194963073358,0.03412024780151245
T_quant,119,2,2.398280232446268,0.11633469732929759
T_quant,119,4,3.8762658089399338,0.12215316816473756
T_quant,120,1,2.2085815691389143,0.06141909287369718
T_quant,120,2,2.4061516323126853,0.024415430121857658
T_quant,120,4,3.891195603646338,0.10990719842120071
T_quant,121,1,2.2077037731651217,0.013223338609051115
T_quant,121,2,2.4087689560838044,0.07742150045282943
T_quant,121,4,3.919778815470636,0.10491344139924558
T_quant,122,1,2.218196721514687,0.06469494013877312
T_quant,122,2,2.4087890970986336,0.037378803044331804
T_quant,122,4,3.9568344806320965,0.11457249378774317
T_quant,123,1,2.2309265367221087,0.07380693374910312
T_quant,123,2,2.4722009152173996,0.22516526545484847
T_quant,123,4,3.9765407133381814,0.12616967680127517
T_quant,124,1,2.2147688223049045,0.01743267756238986
T_quant,124,2,2.415300834691152,0.034668890479909634
T_quant,124,4,3.9530257845763117,0.08792953895800323
T_quant,125,1,2.225203880807385,0.06478159136425603
T_quant,125,2,2.4125952913891524,0.01570669349348833
T_quant,125,4,3.969292633701116,0.10604922436663698
T_quant,126,1,2.2196556464768946,0.0333915599102935
T_quant,126,2,2.420022889273241,0.021402656801745697
T_quant,126,4,3.964261431246996,0.10751715915415427
T_quant,127,1,2.2193381970282644,0.03033532157320882
T_quant,127,2,2.4324013059958816,0.08067894056098372
T_quant,127,4,4.078044835478067,0.17710837727120782
T_quant,128,1,2.223826857516542,0.01969827095597979
T_quant,128,2,2.4332672264426947,0.04097904041160073
T_quant,128,4,4.025492862565443,0.1430616162078654
T_quant,129,1,2.5713736249599606,0.03333972683516351
T_quant,129,2,2.772932172520086,0.032187870224024175
T_quant,129,4,4.456610173219815,0.18124661972929323
