method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,60,0.1875,108,0,109
advanced,61,0.2048611111111111,118,0,119
advanced,62,0.2048611111111111,118,0,119
advanced,63,0.1909722222222222,110,0,111
advanced,64,0.1996527777777778,115,0,116
advanced,65,0.203125,117,0,118
advanced,66,0.2013888888888889,116,0,117
advanced,67,0.1909722222222222,110,0,111
advanced,68,0.19618055555555555,113,0,114
advanced,69,0.1736111111111111,100,0,101
advanced,70,0.1996527777777778,115,0,116
advanced,71,0.19618055555555555,113,0,114
advanced,72,0.1909722222222222,110,0,111
advanced,73,0.1701388888888889,98,0,99
advanced,74,0.19791666666666666,114,0,115
advanced,75,0.2013888888888889,116,0,117
advanced,76,0.2013888888888889,116,0,117
advanced,77,0.19270833333333334,111,0,112
advanced,78,0.19618055555555555,113,0,114
advanced,79,0.20833333333333334,120,0,121
advanced,80,0.18055555555555555,104,0,105
advanced,81,0.1892361111111111,109,0,110
advanced,82,0.1909722222222222,110,0,111
advanced,83,0.17881944444444445,103,0,104
advanced,84,0.19791666666666666,114,0,115
advanced,85,0.19618055555555555,113,0,114
advanced,86,0.1909722222222222,110,0,111
advanced,87,0.1875,108,0,109
advanced,88,0.21354166666666666,123,0,124
advanced,89,0.20833333333333334,120,0,121
advanced,90,0.16319444444444445,94,0,95
advanced,91,0.1909722222222222,110,0,111
advanced,92,0.2013888888888889,116,0,117
advanced,93,0.203125,117,0,118
advanced,94,0.1857638888888889,107,0,108
advanced,95,0.18229166666666666,105,0,106
advanced,96,0.19444444444444445,112,0,113
advanced,97,0.2048611111111111,118,0,119
advanced,98,0.17881944444444445,103,0,104
advanced,99,0.2152777777777778,124,0,125
advanced,100,0.19444444444444445,112,0,113
advanced,101,0.21354166666666666,123,0,124
advanced,102,0.16145833333333334,93,0,94
advanced,103,0.1892361111111111,109,0,110
advanced,104,0.2048611111111111,118,0,119
advanced,105,0.18229166666666666,105,0,106
advanced,106,0.21180555555555555,122,0,123
advanced,107,0.19270833333333334,111,0,112
advanced,108,0.2065972222222222,119,0,120
advanced,109,0.2013888888888889,116,0,117
advanced,110,0.19270833333333334,111,0,112
advanced,111,0.18229166666666666,105,0,106
advanced,112,0.2048611111111111,118,0,119
advanced,113,0.1909722222222222,110,0,111
advanced,114,0.19791666666666666,114,0,115
advanced,115,0.19444444444444445,112,0,113
advanced,116,0.2048611111111111,118,0,119
advanced,117,0.2013888888888889,116,0,117
advanced,118,0.2013888888888889,116,0,117
advanced,119,0.2065972222222222,119,0,120
advanced,120,0.16145833333333334,93,0,94
advanced,121,0.19791666666666666,114,0,115
advanced,122,0.1909722222222222,110,0,111
advanced,123,0.20833333333333334,120,0,121
advanced,124,0.21180555555555555,122,0,123
advanced,125,0.20833333333333334,120,0,121
advanced,126,0.1840277777777778,106,0,107
advanced,127,0.19444444444444445,112,0,113
advanced,128,0.19618055555555555,113,0,114
advanced,129,0.2013888888888889,116,0,117
advanced,130,0.1753472222222222,101,0,102
advanced,131,0.171875,99,0,100
advanced,132,0.19791666666666666,114,0,115
advanced,133,0.1996527777777778,115,0,116
advanced,134,0.19791666666666666,114,0,115
advanced,135,0.2013888888888889,116,0,117
advanced,136,0.19791666666666666,114,0,115
advanced,137,0.203125,117,0,118
advanced,138,0.2013888888888889,116,0,117
advanced,139,0.1996527777777778,115,0,116
advanced,140,0.1857638888888889,107,0,108
advanced,141,0.1857638888888889,107,0,108
advanced,142,0.2013888888888889,116,0,117
advanced,143,0.19270833333333334,111,0,112
advanced,144,0.1909722222222222,110,0,111
advanced,145,0.2013888888888889,116,0,117
advanced,146,0.2013888888888889,116,0,117
advanced,147,0.1996527777777778,115,0,116
advanced,148,0.1701388888888889,98,0,99
advanced,149,0.2013888888888889,116,0,117
advanced,150,0.1701388888888889,98,0,99
advanced,151,0.1909722222222222,110,0,111
advanced,152,0.1840277777777778,106,0,107
advanced,153,0.1996527777777778,115,0,116
advanced,154,0.19618055555555555,113,0,114
advanced,155,0.21006944444444445,121,0,122
advanced,156,0.19444444444444445,112,0,113
advanced,157,0.19444444444444445,112,0,113
advanced,158,0.18055555555555555,104,0,105
advanced,159,0.1840277777777778,106,0,107
advanced,160,0.1840277777777778,106,0,107
advanced,161,0.1996527777777778,115,0,116
advanced,162,0.2152777777777778,124,0,125
advanced,163,0.19444444444444445,112,0,113
advanced,164,0.19270833333333334,111,0,112
advanced,165,0.203125,117,0,118
advanced,166,0.1875,108,0,109
advanced,167,0.19618055555555555,113,0,114
advanced,168,0.19618055555555555,113,0,114
advanced,169,0.18055555555555555,104,0,105
advanced,170,0.19618055555555555,113,0,114
advanced,171,0.19791666666666666,114,0,115
advanced,172,0.1840277777777778,106,0,107
advanced,173,0.1909722222222222,110,0,111
advanced,174,0.1909722222222222,110,0,111
advanced,175,0.19444444444444445,112,0,113
advanced,176,0.21180555555555555,122,0,123
advanced,177,0.18055555555555555,104,0,105
advanced,178,0.1875,108,0,109
advanced,179,0.2222222222222222,128,0,129
advanced,180,0.17881944444444445,103,0,104
advanced,181,0.19791666666666666,114,0,115
advanced,182,0.17881944444444445,103,0,104
advanced,183,0.1909722222222222,110,0,111
advanced,184,0.17708333333333334,102,0,103
advanced,185,0.19791666666666666,114,0,115
advanced,186,0.19444444444444445,112,0,113
advanced,187,0.18055555555555555,104,0,105
advanced,188,0.2152777777777778,124,0,125
advanced,189,0.21180555555555555,122,0,123
advanced,190,0.21354166666666666,123,0,124
advanced,191,0.19444444444444445,112,0,113
advanced,192,0.17881944444444445,103,0,104
advanced,193,0.18229166666666666,105,0,106
advanced,194,0.1875,108,0,109
advanced,195,0.19618055555555555,113,0,114
advanced,196,0.1909722222222222,110,0,111
advanced,197,0.21006944444444445,121,0,122
advanced,198,0.1840277777777778,106,0,107
advanced,199,0.1909722222222222,110,0,111
advanced,200,0.21875,126,0,127
advanced,201,0.19618055555555555,113,0,114
advanced,202,0.18229166666666666,105,0,106
advanced,203,0.203125,117,0,118
advanced,204,0.1857638888888889,107,0,108
advanced,205,0.21180555555555555,122,0,123
advanced,206,0.2013888888888889,116,0,117
advanced,207,0.1753472222222222,101,0,102
advanced,208,0.1857638888888889,107,0,108
advanced,209,0.1857638888888889,107,0,108
advanced,210,0.16145833333333334,93,0,94
advanced,211,0.18055555555555555,104,0,105
advanced,212,0.1753472222222222,101,0,102
advanced,213,0.19444444444444445,112,0,113
advanced,214,0.19618055555555555,113,0,114
advanced,215,0.17881944444444445,103,0,104
advanced,216,0.19791666666666666,114,0,115
advanced,217,0.19444444444444445,112,0,113
advanced,218,0.203125,117,0,118
advanced,219,0.1892361111111111,109,0,110
advanced,220,0.203125,117,0,118
advanced,221,0.203125,117,0,118
advanced,222,0.2013888888888889,116,0,117
advanced,223,0.19618055555555555,113,0,114
advanced,224,0.22743055555555555,131,0,132
advanced,225,0.2065972222222222,119,0,120
advanced,226,0.21875,126,0,127
advanced,227,0.2048611111111111,118,0,119
advanced,228,0.1857638888888889,107,0,108
advanced,229,0.2170138888888889,125,0,126
advanced,230,0.21180555555555555,122,0,123
advanced,231,0.18055555555555555,104,0,105
advanced,232,0.1892361111111111,109,0,110
advanced,233,0.19791666666666666,114,0,115
advanced,234,0.2013888888888889,116,0,117
advanced,235,0.1736111111111111,100,0,101
advanced,236,0.1875,108,0,109
advanced,237,0.20833333333333334,120,0,121
advanced,238,0.2013888888888889,116,0,117
advanced,239,0.19618055555555555,113,0,114
advanced,240,0.2013888888888889,116,0,117
advanced,241,0.2204861111111111,127,0,128
advanced,242,0.19791666666666666,114,0,115
advanced,243,0.2048611111111111,118,0,119
advanced,244,0.2013888888888889,116,0,117
advanced,245,0.21180555555555555,122,0,123
advanced,246,0.1892361111111111,109,0,110
advanced,247,0.21180555555555555,122,0,123
advanced,248,0.1909722222222222,110,0,111
advanced,249,0.21354166666666666,123,0,124
advanced,250,0.19444444444444445,112,0,113
advanced,251,0.20833333333333334,120,0,121
advanced,252,0.2048611111111111,118,0,119
advanced,253,0.20833333333333334,120,0,121
advanced,254,0.1875,108,0,109
advanced,255,0.2065972222222222,119,0,120
advanced,256,0.19618055555555555,113,0,114
advanced,257,0.1909722222222222,110,0,111
advanced,258,0.21875,126,0,127
advanced,259,0.20833333333333334,120,0,121
advanced,260,0.19270833333333334,111,0,112
advanced,261,0.21006944444444445,121,0,122
advanced,262,0.203125,117,0,118
advanced,263,0.19270833333333334,111,0,112
advanced,264,0.2152777777777778,124,0,125
advanced,265,0.2065972222222222,119,0,120
advanced,266,0.1996527777777778,115,0,116
advanced,267,0.21354166666666666,123,0,124
advanced,268,0.2065972222222222,119,0,120
advanced,269,0.21006944444444445,121,0,122
advanced,270,0.19791666666666666,114,0,115
advanced,271,0.2048611111111111,118,0,119
advanced,272,0.2170138888888889,125,0,126
advanced,273,0.2013888888888889,116,0,117
advanced,274,0.21180555555555555,122,0,123
advanced,275,0.21354166666666666,123,0,124
advanced,276,0.19618055555555555,113,0,114
advanced,277,0.21006944444444445,121,0,122
advanced,278,0.21180555555555555,122,0,123
advanced,279,0.2048611111111111,118,0,119
advanced,280,0.2065972222222222,119,0,120
advanced,281,0.19791666666666666,114,0,115
advanced,282,0.2048611111111111,118,0,119
advanced,283,0.2013888888888889,116,0,117
advanced,284,0.203125,117,0,118
advanced,285,0.19270833333333334,111,0,112
advanced,286,0.2152777777777778,124,0,125
advanced,287,0.20833333333333334,120,0,121
advanced,288,0.21354166666666666,123,0,124
advanced,289,0.1996527777777778,115,0,116
advanced,290,0.19618055555555555,113,0,114
advanced,291,0.20833333333333334,120,0,121
advanced,292,0.19791666666666666,114,0,115
advanced,293,0.19444444444444445,112,0,113
advanced,294,0.2013888888888889,116,0,117
