method,image_idx,ratio,n_topk,n_spatial,n_out
plus,186,0.21180555555555555,122,453,576
plus,187,0.21006944444444445,121,454,576
plus,188,0.19444444444444445,112,463,576
plus,189,0.19618055555555555,113,462,576
plus,190,0.20833333333333334,120,456,577
plus,191,0.19791666666666666,114,462,577
plus,192,0.1701388888888889,98,478,577
plus,193,0.2013888888888889,116,460,577
plus,194,0.19444444444444445,112,463,576
plus,195,0.203125,117,458,576
plus,196,0.1892361111111111,109,467,577
plus,197,0.18229166666666666,105,470,576
plus,198,0.1875,108,467,576
plus,199,0.1892361111111111,109,466,576
plus,200,0.1857638888888889,107,468,576
plus,201,0.19270833333333334,111,464,576
plus,202,0.19618055555555555,113,462,576
plus,203,0.1996527777777778,115,460,576
plus,204,0.19444444444444445,112,463,576
plus,205,0.2048611111111111,118,457,576
plus,206,0.19270833333333334,111,464,576
plus,207,0.19270833333333334,111,464,576
plus,208,0.19618055555555555,113,463,577
plus,209,0.2013888888888889,116,459,576
plus,210,0.21875,126,450,577
plus,211,0.20833333333333334,120,455,576
plus,212,0.20833333333333334,120,455,576
plus,213,0.19618055555555555,113,462,576
plus,214,0.1996527777777778,115,460,576
plus,215,0.1996527777777778,115,461,577
plus,216,0.2013888888888889,116,459,576
plus,217,0.20833333333333334,120,456,577
plus,218,0.1857638888888889,107,469,577
plus,219,0.2065972222222222,119,456,576
plus,220,0.19618055555555555,113,462,576
plus,221,0.1840277777777778,106,469,576
plus,222,0.19791666666666666,114,461,576
plus,223,0.17708333333333334,102,473,576
plus,224,0.2048611111111111,118,457,576
plus,225,0.2204861111111111,127,448,576
plus,226,0.1875,108,467,576
plus,227,0.21354166666666666,123,453,577
plus,228,0.21180555555555555,122,453,576
plus,229,0.18229166666666666,105,470,576
plus,230,0.1875,108,467,576
plus,231,0.2065972222222222,119,456,576
plus,232,0.18055555555555555,104,472,577
plus,233,0.17881944444444445,103,472,576
plus,234,0.17881944444444445,103,472,576
plus,235,0.21875,126,449,576
plus,236,0.2013888888888889,116,460,577
plus,237,0.1996527777777778,115,460,576
plus,238,0.19444444444444445,112,464,577
plus,239,0.1892361111111111,109,466,576
plus,240,0.2013888888888889,116,459,576
plus,241,0.21354166666666666,123,452,576
plus,242,0.1857638888888889,107,468,576
plus,243,0.2065972222222222,119,456,576
plus,244,0.203125,117,459,577
plus,245,0.19444444444444445,112,464,577
plus,246,0.19791666666666666,114,462,577
plus,247,0.20833333333333334,120,455,576
plus,248,0.1857638888888889,107,468,576
plus,249,0.20833333333333334,120,455,576
plus,250,0.20833333333333334,120,456,577
plus,251,0.2013888888888889,116,459,576
plus,252,0.21354166666666666,123,453,577
plus,253,0.19618055555555555,113,462,576
plus,254,0.2048611111111111,118,457,576
plus,255,0.19444444444444445,112,464,577
plus,256,0.19444444444444445,112,463,576
plus,257,0.20833333333333334,120,455,576
plus,258,0.1875,108,468,577
plus,259,0.21180555555555555,122,453,576
plus,260,0.21006944444444445,121,455,577
plus,261,0.22569444444444445,130,445,576
plus,262,0.18055555555555555,104,472,577
plus,263,0.2048611111111111,118,457,576
plus,264,0.1579861111111111,91,244,336
plus,265,0.18229166666666666,105,470,576
plus,266,0.1857638888888889,107,468,576
plus,267,0.21006944444444445,121,455,577
plus,268,0.2013888888888889,116,459,576
plus,269,0.2065972222222222,119,456,576
plus,270,0.1701388888888889,98,478,577
plus,271,0.22569444444444445,130,446,577
plus,272,0.2065972222222222,119,456,576
plus,273,0.2048611111111111,118,457,576
plus,274,0.19618055555555555,113,463,577
plus,275,0.21006944444444445,121,455,577
plus,276,0.19618055555555555,113,463,577
plus,277,0.17881944444444445,103,473,577
plus,278,0.1857638888888889,107,468,576
plus,279,0.19444444444444445,112,463,576
plus,280,0.19270833333333334,111,464,576
plus,281,0.1996527777777778,115,460,576
plus,282,0.1996527777777778,115,460,576
plus,283,0.1996527777777778,115,460,576
plus,284,0.2204861111111111,127,449,577
plus,285,0.21180555555555555,122,454,577
plus,286,0.1909722222222222,110,465,576
plus,287,0.18055555555555555,104,471,576
plus,288,0.19791666666666666,114,461,576
plus,289,0.1996527777777778,115,461,577
plus,290,0.21875,126,450,577
plus,291,0.19270833333333334,111,464,576
plus,292,0.19444444444444445,112,463,576
plus,293,0.203125,117,459,577
plus,294,0.2013888888888889,116,460,577
plus,295,0.18229166666666666,105,470,576
plus,296,0.1996527777777778,115,460,576
plus,297,0.1892361111111111,109,466,576
plus,298,0.21180555555555555,122,453,576
plus,299,0.18229166666666666,105,470,576
plus,300,0.18229166666666666,105,471,577
plus,301,0.2170138888888889,125,450,576
plus,302,0.1892361111111111,109,467,577
plus,303,0.2065972222222222,119,457,577
plus,304,0.21006944444444445,121,455,577
plus,305,0.18229166666666666,105,471,577
plus,306,0.2065972222222222,119,457,577
plus,307,0.2013888888888889,116,459,576
plus,308,0.21180555555555555,122,454,577
plus,309,0.2065972222222222,119,457,577
plus,310,0.18055555555555555,104,471,576
plus,311,0.18055555555555555,104,471,576
plus,312,0.20833333333333334,120,455,576
plus,313,0.21180555555555555,122,453,576
plus,314,0.2170138888888889,125,450,576
plus,315,0.18229166666666666,105,471,577
plus,316,0.19270833333333334,111,465,577
plus,317,0.1996527777777778,115,461,577
plus,318,0.2048611111111111,118,457,576
plus,319,0.19444444444444445,112,464,577
plus,320,0.19791666666666666,114,462,577
plus,321,0.19618055555555555,113,462,576
plus,322,0.2013888888888889,116,459,576
plus,323,0.1875,108,467,576
plus,324,0.19444444444444445,112,463,576
plus,325,0.1857638888888889,107,468,576
plus,326,0.16666666666666666,96,241,338
plus,327,0.2170138888888889,125,450,576
plus,328,0.2065972222222222,119,456,576
plus,329,0.1892361111111111,109,467,577
plus,330,0.21180555555555555,122,453,576
plus,331,0.21006944444444445,121,454,576
plus,332,0.19791666666666666,114,461,576
plus,333,0.1909722222222222,110,465,576
plus,334,0.19791666666666666,114,461,576
plus,335,0.2170138888888889,125,451,577
plus,336,0.1840277777777778,106,470,577
plus,337,0.18055555555555555,104,472,577
plus,338,0.2204861111111111,127,448,576
plus,339,0.2013888888888889,116,460,577
plus,340,0.2152777777777778,124,452,577
plus,341,0.19791666666666666,114,461,576
plus,342,0.19444444444444445,112,464,577
plus,343,0.1909722222222222,110,466,577
plus,344,0.2065972222222222,119,456,576
plus,345,0.1875,108,468,577
plus,346,0.2170138888888889,125,450,576
plus,347,0.2065972222222222,119,456,576
plus,348,0.19618055555555555,113,462,576
plus,349,0.1909722222222222,110,465,576
plus,350,0.21354166666666666,123,452,576
plus,351,0.19444444444444445,112,463,576
plus,352,0.2204861111111111,127,448,576
plus,353,0.19791666666666666,114,461,576
plus,354,0.1909722222222222,110,465,576
plus,355,0.21180555555555555,122,453,576
plus,356,0.1840277777777778,106,469,576
plus,357,0.1892361111111111,109,466,576
plus,358,0.19618055555555555,113,462,576
plus,359,0.1892361111111111,109,466,576
plus,360,0.19618055555555555,113,462,576
plus,361,0.1875,108,467,576
plus,362,0.19618055555555555,113,462,576
plus,363,0.19618055555555555,113,462,576
plus,364,0.1892361111111111,109,466,576
plus,365,0.2048611111111111,118,457,576
plus,366,0.19618055555555555,113,462,576
plus,367,0.1892361111111111,109,466,576
plus,368,0.2222222222222222,128,447,576
plus,369,0.2013888888888889,116,459,576
plus,370,0.1857638888888889,107,469,577
plus,371,0.2065972222222222,119,456,576
plus,372,0.1996527777777778,115,460,576
plus,373,0.203125,117,458,576
plus,374,0.17708333333333334,102,473,576
plus,375,0.2222222222222222,128,447,576
plus,376,0.2170138888888889,125,450,576
plus,377,0.2048611111111111,118,457,576
plus,378,0.2065972222222222,119,457,577
plus,379,0.1840277777777778,106,469,576
plus,380,0.1857638888888889,107,469,577
plus,381,0.22569444444444445,130,445,576
plus,382,0.203125,117,458,576
plus,383,0.19791666666666666,114,462,577
plus,384,0.1684027777777778,97,478,576
plus,385,0.1892361111111111,109,466,576
plus,386,0.21180555555555555,122,454,577
plus,387,0.171875,99,477,577
plus,388,0.19791666666666666,114,461,576
plus,389,0.2013888888888889,116,460,577
plus,390,0.1579861111111111,91,238,330
plus,391,0.2013888888888889,116,459,576
plus,392,0.19618055555555555,113,463,577
plus,393,0.203125,117,458,576
plus,394,0.19791666666666666,114,461,576
plus,395,0.2065972222222222,119,457,577
plus,396,0.19618055555555555,113,462,576
plus,397,0.203125,117,458,576
plus,398,0.2048611111111111,118,458,577
plus,399,0.203125,117,459,577
plus,400,0.1996527777777778,115,460,576
plus,401,0.2065972222222222,119,457,577
plus,402,0.2170138888888889,125,451,577
plus,403,0.2013888888888889,116,459,576
plus,404,0.2152777777777778,124,451,576
plus,405,0.19791666666666666,114,462,577
plus,406,0.1909722222222222,110,465,576
plus,407,0.203125,117,458,576
plus,408,0.2048611111111111,118,458,577
plus,409,0.1875,108,467,576
plus,410,0.1909722222222222,110,465,576
plus,411,0.1840277777777778,106,470,577
plus,412,0.19618055555555555,113,462,576
plus,413,0.21006944444444445,121,454,576
plus,414,0.1909722222222222,110,465,576
plus,415,0.2048611111111111,118,458,577
plus,416,0.2170138888888889,125,451,577
plus,417,0.20833333333333334,120,455,576
plus,418,0.1857638888888889,107,468,576
plus,419,0.2048611111111111,118,457,576
plus,420,0.19444444444444445,112,463,576
plus,421,0.21180555555555555,122,454,577
plus,422,0.19618055555555555,113,462,576
plus,423,0.2048611111111111,118,457,576
plus,424,0.1996527777777778,115,461,577
plus,425,0.16666666666666666,96,248,345
plus,426,0.2013888888888889,116,460,577
plus,427,0.19791666666666666,114,461,576
plus,428,0.21180555555555555,122,453,576
plus,429,0.19791666666666666,114,461,576
plus,430,0.1996527777777778,115,460,576
plus,431,0.19618055555555555,113,463,577
plus,432,0.19618055555555555,113,462,576
plus,433,0.19791666666666666,114,462,577
plus,434,0.19270833333333334,111,465,577
plus,435,0.17881944444444445,103,472,576
plus,436,0.2013888888888889,116,460,577
plus,437,0.20833333333333334,120,456,577
plus,438,0.19270833333333334,111,464,576
plus,439,0.19618055555555555,113,462,576
plus,440,0.19791666666666666,114,461,576
plus,441,0.21180555555555555,122,453,576
plus,442,0.22569444444444445,130,445,576
plus,443,0.2013888888888889,116,459,576
plus,444,0.18229166666666666,105,471,577
plus,445,0.21180555555555555,122,454,577
plus,446,0.21180555555555555,122,454,577
plus,447,0.2152777777777778,124,451,576
plus,448,0.21006944444444445,121,454,576
plus,449,0.2170138888888889,125,451,577
plus,450,0.21006944444444445,121,455,577
plus,451,0.1909722222222222,110,465,576
plus,452,0.21180555555555555,122,454,577
plus,453,0.203125,117,458,576
plus,454,0.1875,108,467,576
plus,455,0.17708333333333334,102,473,576
plus,456,0.21354166666666666,123,453,577
plus,457,0.1857638888888889,107,468,576
plus,458,0.19791666666666666,114,462,577
plus,459,0.2222222222222222,128,447,576
plus,460,0.1996527777777778,115,460,576
plus,461,0.18229166666666666,105,471,577
plus,462,0.19618055555555555,113,462,576
plus,463,0.19444444444444445,112,464,577
plus,464,0.17881944444444445,103,473,577
plus,465,0.2048611111111111,118,458,577
plus,466,0.2152777777777778,124,452,577
plus,467,0.21875,126,449,576
plus,468,0.19270833333333334,111,465,577
plus,469,0.19444444444444445,112,463,576
plus,470,0.1736111111111111,100,475,576
plus,471,0.1996527777777778,115,460,576
plus,472,0.2065972222222222,119,457,577
plus,473,0.21006944444444445,121,455,577
plus,474,0.2013888888888889,116,459,576
