component,N,B,mean_ms,std_ms
T_quant,42,1,2.0829119766131043,0.13039619646645675
T_quant,42,2,2.136395163834095,0.12239038728817153
T_quant,42,4,2.468500076793134,0.09053645805936865
T_quant,43,1,2.051839513005689,0.07080047055734129
T_quant,43,2,2.1129481529351324,0.03656017860715957
T_quant,43,4,2.4844525195658207,0.09561089141477953
T_quant,44,1,2.0382805541157722,0.04726380049996085
T_quant,44,2,2.117360185366124,0.014562843683426288
T_quant,44,4,2.476442225743085,0.045877615858530445
T_quant,45,1,2.045209378702566,0.05686503299647856
T_quant,45,2,2.124565589474514,0.03468390958522972
T_quant,45,4,2.489221914438531,0.05464339022798845
T_quant,46,1,2.0444297487847507,0.047286027997545256
T_quant,46,2,2.1295235655270517,0.04706408983584025
T_quant,46,4,2.4993586423806846,0.047829918655863536
T_quant,47,1,2.04788004164584,0.045696334071287655
T_quant,47,2,2.130281439749524,0.01299050875866558
T_quant,47,4,2.51770451082848,0.04454565219955938
T_quant,48,1,2.048995012883097,0.04813425366011512
T_quant,48,2,2.146637514233589,0.06210232720317202
T_quant,48,4,2.5387137883808464,0.07231628718036637
T_quant,49,1,2.052189002279192,0.03516479221920288
T_quant,49,2,2.147594637935981,0.04847900129657994
T_quant,49,4,2.5653598236385733,0.06595553058562756
T_quant,50,1,2.0579807739704847,0.04683220184007837
T_quant,50,2,2.162562196608633,0.06447890878216667
T_quant,50,4,2.577473825076595,0.054663314977013135
T_quant,51,1,2.068333816714585,0.04765755018083822
T_quant,51,2,2.1727027965243906,0.05417176842938092
T_quant,51,4,2.586795660899952,0.056291022023089735
T_quant,52,1,2.0608565723523498,0.01206993072896247
T_quant,52,2,2.1619558008387685,0.037806855524511185
T_quant,52,4,2.617549339774996,0.07588593825676959
T_quant,53,1,2.093572865705937,0.09966255523091813
T_quant,53,2,2.1725434658583254,0.047830468531747196
T_quant,53,4,2.623381057055667,0.05664332201996229
T_quant,54,1,2.0802330982405692,0.05659522749520605
T_quant,54,2,2.1725105261430144,0.01690857991383345
T_quant,54,4,2.6413162669632584,0.054745742980078664
T_quant,55,1,2.0771688036620617,0.05002986871856936
