component,N,mean_ms,std_ms
T_proj_llm,404,1389.054661220871,0.11853819105663786
T_proj_llm,405,1704.99128511874,0.3717253415227607
T_proj_llm,406,1381.4407102763653,0.20970370980875383
T_proj_llm,407,1716.5072137024254,0.2923673909919425
T_proj_llm,408,1321.5764645836316,0.4422168314226504
T_proj_llm,409,1743.6278147040866,0.16350232479858595
T_proj_llm,410,1396.1085797054693,0.07378959879696004
T_proj_llm,411,1740.5774265062064,0.1633923952571719
T_proj_llm,412,1411.3989003701136,0.20678764299729518
T_proj_llm,413,1744.7848355979659,0.2427116108832771
T_proj_llm,414,1404.9016104079783,0.15571444232216555
T_proj_llm,415,1757.3075782856904,0.13744620257599185
T_proj_llm,416,1337.475935893599,0.25686804614910275
T_proj_llm,417,1762.674326589331,0.22752887283874093
T_proj_llm,418,1412.3431810294278,0.2963180879771121
T_proj_llm,419,1758.5520495777018,0.3270665935061071
T_proj_llm,420,1423.8176316022873,0.23527115132397716
T_proj_llm,421,1762.1150265214965,0.2667029637207852
T_proj_llm,422,1415.6001738039777,0.1831765985591411
T_proj_llm,423,1772.2835835884325,0.3458559654766541
T_proj_llm,424,1348.8811802933924,0.31727875255179816
T_proj_llm,425,1790.6251408858225,0.7279003985736812
T_proj_llm,426,1421.72934692353,0.3824364206442909
T_proj_llm,427,1788.9637441956438,1.2046090022785898
T_proj_llm,428,1434.6667547011748,0.29873016130042024
T_proj_llm,429,1792.4791176104918,0.171710345403202
T_proj_llm,430,1426.4266946003772,0.09583107687558305
T_proj_llm,431,1804.9402439035475,0.21733201338555547
T_proj_llm,432,1360.4630725109018,0.3360220114944381
T_proj_llm,433,1808.4622748778202,0.35635946956710773
T_proj_llm,434,1432.6526292948984,0.2115843216890192
T_proj_llm,435,1805.4674012237228,0.21260579877314123
T_proj_llm,436,1449.3658000952564,0.4184084806949482
T_proj_llm,437,1807.7280567027628,0.25546418025262657
T_proj_llm,438,1438.5506175109185,0.35674862077403374
T_proj_llm,439,1820.3732526046224,0.14824632504152319
T_proj_llm,440,1370.9481365280226,0.19899906535223663
T_proj_llm,441,1842.452280514408,0.31667016008340415
T_proj_llm,442,1452.1475719171576,0.20415064481486678
T_proj_llm,443,1840.2071985066868,0.3834701794071328
T_proj_llm,444,1470.1832417049445,0.24449252051297218
T_proj_llm,445,1844.1552398027852,0.2963113485969689
T_proj_llm,446,1458.409153507091,0.1495079035512738
T_proj_llm,447,1858.857149479445,0.17122719274758486
T_proj_llm,448,1386.7779808002524,0.4031354400411502
T_proj_llm,449,1862.570883508306,0.6740386230765748
T_proj_llm,450,1466.1719412193634,0.16162000823908662
T_proj_llm,451,1860.4052185895853,0.26164217456432054
T_proj_llm,452,1483.2186147104949,0.24411281215151195
T_proj_llm,453,1864.8852934944443,0.3892889800328228
T_proj_llm,454,1473.6267685773782,0.26076617641678834
T_proj_llm,455,1877.3233619169332,0.3565502542378453
T_proj_llm,456,1401.1402118136175,0.24443915604270677
T_proj_llm,457,1899.228273681365,0.30056062854103477
T_proj_llm,458,1480.1955490838736,0.20588252043792876
T_proj_llm,459,1897.093576786574,0.23559864594606522
T_proj_llm,460,1498.9556399872527,0.32221637934399705
T_proj_llm,461,1900.9074932080694,0.27401185289343094
T_proj_llm,462,1485.722714383155,0.18607742036224592
T_proj_llm,463,1914.92111091502,0.22293951270230408
T_proj_llm,464,1415.6150432070717,0.27447888977014456
T_proj_llm,465,1918.8222899800166,0.31481561510541956
T_proj_llm,466,1492.5541184959002,0.2539169059222996
T_proj_llm,467,1916.7520015267655,0.4016218066337734
T_proj_llm,468,1513.9530349173583,0.22527982673218389
T_proj_llm,469,1920.770610193722,0.4659885651980285
T_proj_llm,470,1498.9117222139612,0.18874248438730015
T_proj_llm,471,1932.9976010136306,0.17829792448430035
T_proj_llm,472,1428.5969630931504,0.38066456994751074
T_proj_llm,473,2133.7942635291256,0.39100189643120503
T_proj_llm,474,1735.3864682954736,0.6845878735724853
T_proj_llm,475,2132.119898905512,0.4179117009972546
T_proj_llm,476,1744.4223070982844,0.6773451419880938
T_proj_llm,477,2170.3542205272242,5.416203808589026
T_proj_llm,478,1742.923085601069,2.0327417027362977
T_proj_llm,479,2180.0659980042838,4.18911319628113
T_proj_llm,480,1637.9746710299514,0.48636712396105264
T_proj_llm,481,2186.8273159954697,5.372580554773176
T_proj_llm,482,1746.749610779807,0.6474757194574964
T_proj_llm,483,2180.5362159968354,7.986364799165599
T_proj_llm,484,1753.9229174959473,0.7019865514957568
T_proj_llm,485,2181.734031776432,7.929122567262439
T_proj_llm,486,1753.9400595007464,0.5099272883285606
T_proj_llm,487,2200.598957494367,3.9581067045205014
T_proj_llm,488,1648.3640371239744,0.41978633660630044
T_proj_llm,489,2220.044578402303,5.29824484316165
T_proj_llm,490,1761.2319089006633,0.4049259082213245
T_proj_llm,491,2217.190368101001,5.284751431838102
T_proj_llm,492,1765.907056373544,0.6401560057028785
T_proj_llm,493,2224.9618401983753,3.0076497194858183
T_proj_llm,494,1766.3004295085557,0.251703429153594
T_proj_llm,495,2239.7021111799404,0.17018117591607965
T_proj_llm,496,1660.2428655722179,0.5426760900789065
T_proj_llm,497,2243.8891989993863,3.582695054555511
T_proj_llm,498,1775.106368388515,0.3025089993867277
T_proj_llm,499,2239.996867487207,1.820069011688206
T_proj_llm,500,1782.9859132063575,0.35635576949785464
T_proj_llm,501,2242.4144168035127,4.114200979548155
T_proj_llm,502,1780.6292864959687,0.5337507933092497
T_proj_llm,503,2255.0847115111537,6.4987313040189125
T_proj_llm,504,1671.8378847115673,0.45766830436423767
T_proj_llm,505,2279.7944366931915,2.627358238727217
T_proj_llm,506,1795.989634806756,0.3137164913113217
T_proj_llm,507,2271.60377507098,1.9477767312147392
T_proj_llm,508,1799.5102126034908,0.5016543522647257
T_proj_llm,509,2271.093516703695,4.47532029724487
