component,N,topk,mean_ms,std_ms
T_pm_plus,576,217,117.7386718802154,0.26008743664371714
T_pm_plus,576,218,117.38330312073231,0.1721010741580734
T_pm_plus,576,219,117.66171362251043,0.24971561380706667
T_pm_plus,576,220,117.32262140139937,0.1820682971307025
T_pm_plus,576,221,117.50171072781086,0.3510572720609218
T_pm_plus,576,222,117.34865140169859,0.21360899693244612
T_pm_plus,576,223,117.43758209049702,0.17276533785046164
T_pm_plus,576,224,117.25780740380287,0.1851941748550464
T_pm_plus,576,225,117.31814555823803,0.20904231257365952
T_pm_plus,576,226,117.43998052552342,0.21840385435121773
T_pm_plus,576,227,117.59124984964728,0.20504750125307541
T_pm_plus,576,228,117.42015536874533,0.21917914982434256
T_pm_plus,576,229,117.44591016322374,0.19328380264373524
T_pm_plus,576,230,117.4515487626195,0.1903083397579617
T_pm_plus,576,231,117.54909325391054,0.330852694176702
T_pm_plus,576,232,117.24575031548738,0.2245017444994055
T_pm_plus,576,233,117.3419363796711,0.31468452351812515
T_pm_plus,576,234,117.40783117711544,0.31949193969972844
T_pm_plus,576,235,117.4122516065836,0.21442510612806495
T_pm_plus,576,236,117.30667287483811,0.2777126871335373
T_pm_plus,576,237,117.71887978538871,0.18949395568361907
T_pm_plus,576,238,117.26867482066154,0.2972415152962597
T_pm_plus,576,239,117.20915930345654,0.2104302459119958
T_pm_plus,576,240,116.89476855099201,0.16099708915967192
T_pm_plus,576,241,117.23456783220172,0.28118949778677826
T_pm_plus,576,242,117.0040956698358,0.29963700257823256
T_pm_plus,576,243,117.29599116370082,0.17094789710946393
T_pm_plus,576,244,117.15993070974946,0.20720844712341377
T_pm_plus,576,245,117.37791476771235,0.21681743687050595
T_pm_plus,576,246,117.40449061617255,0.2115851466140538
T_pm_plus,576,247,117.29553025215864,0.2482224564535896
T_pm_plus,576,248,117.18115797266364,0.3206256847521865
T_pm_plus,576,249,117.25675417110324,0.22237063717482472
T_pm_plus,576,250,117.2776616178453,0.18892872129889843
T_pm_plus,576,251,117.4970124848187,0.32086635651048645
T_pm_plus,576,252,117.23213354125619,0.21068444145125081
T_pm_plus,576,253,117.36343335360289,0.20807116144988583
T_pm_plus,576,254,117.11762975901365,0.17869149907878715
T_pm_plus,576,255,117.55676055327058,0.2112975750143163
T_pm_plus,576,256,117.30473022907972,0.24743061035450836
T_pm_plus,576,257,117.22469059750438,0.22125261514729716
T_pm_plus,576,258,117.33188414946198,0.24680745425797826
T_pm_plus,576,259,117.02261613681912,0.27518570242982376
T_pm_plus,576,260,116.8400184251368,0.19201185036684518
T_pm_plus,576,261,117.35683484002948,0.44256577780978407
T_pm_plus,576,262,117.05431500449777,0.2443254592168205
T_pm_plus,576,263,117.0227793045342,0.19655295551985438
T_pm_plus,576,264,116.98939418420196,0.16438241344904736
T_pm_plus,576,265,116.94548651576042,0.2547871302705704
T_pm_plus,576,266,117.21072774380445,0.2751203015267728
T_pm_plus,576,267,117.27049397304654,0.3231713873656643
T_pm_plus,576,268,117.14499834924936,0.2541395754571085
T_pm_plus,576,269,117.36114388331771,0.26109089668602997
T_pm_plus,576,270,117.20517706125975,0.27686478341052256
T_pm_plus,576,271,117.22912946715951,0.3138286628206678
T_pm_plus,576,272,117.20964638516307,0.22994510359267847
T_pm_plus,576,273,117.17714294791222,0.21788527548430164
T_pm_plus,576,274,116.7875143699348,0.172000297351506
T_pm_plus,576,275,116.9740947894752,0.2375769954468017
T_pm_plus,576,276,117.03966977074742,0.22390699629017619
T_pm_plus,576,277,117.22233574837446,0.29370399781018747
T_pm_plus,576,278,116.9953316450119,0.2442594478629512
T_pm_plus,576,279,117.13988799601793,0.24451408577818864
T_pm_plus,576,280,117.08584809675813,0.30305185443956195
T_pm_plus,576,281,117.05431640148163,0.36769814776701215
T_pm_plus,576,282,116.94045728072524,0.26185189722464497
T_pm_plus,576,283,117.04851416870952,0.2695142536162076
T_pm_plus,576,284,116.9743143953383,0.24702802217082942
T_pm_plus,576,285,116.86811912804842,0.24939028596790885
T_pm_plus,576,286,116.9177245348692,0.20250415984871786
T_pm_plus,576,287,116.90462660044432,0.23458846016846047
T_pm_plus,576,288,116.63934672251344,0.19013471370947815
